"location","lineage","colonyID","distance","beeID","dance","phase","start_frame","end_frame","frame_difference","duration"
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,5,8636,8658,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,6,8742,8757,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",2,7,9018,9037,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,1,26104,26114,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,2,26190,26208,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,3,26510,26532,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,4,26734,26738,4,0.0666666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,5,26826,26838,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,6,26926,26941,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,7,27004,27032,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,8,27203,27213,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,9,27294,27312,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,10,27420,27430,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,11,27508,27522,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",3,12,27612,27628,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,1,7896,7911,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,2,8008,8045,37,0.616666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,3,8132,8160,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,4,8238,8255,17,0.283333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,5,8334,8350,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,6,8422,8442,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,7,8524,8540,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,8,8594,8626,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,9,8708,8730,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,10,8756,8820,64,1.06666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,11,8912,8926,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,12,8988,9018,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,13,9188,9203,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,14,9290,9300,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,15,9366,9398,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,16,9472,9496,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,17,9570,9585,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,18,9663,9680,17,0.283333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,19,9762,9781,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",4,20,9946,9970,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,1,21192,21210,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,2,21296,21318,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,3,21626,21660,34,0.566666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,4,21864,21878,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,5,21952,21982,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,6,22078,22104,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,7,22194,22207,13,0.216666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,8,22304,22316,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,9,22392,22408,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",5,10,22494,22507,13,0.216666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,1,13984,14003,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,2,14076,14106,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,3,14174,14195,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,4,14256,14281,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,5,14462,14471,9,0.15
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,6,14546,14556,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,7,14630,14669,39,0.65
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,8,14736,14752,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,9,14819,14850,31,0.516666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,10,14922,14954,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,11,15022,15048,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,12,15130,15162,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",6,13,15234,15250,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,1,5814,5826,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,2,5896,5930,34,0.566666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,3,6120,6152,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,4,6310,6331,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,5,6484,6520,36,0.6
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,6,6588,6607,19,0.316666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,7,6678,6700,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,8,6768,6794,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,9,6856,6890,34,0.566666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,10,7210,7245,35,0.583333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RG",7,11,7316,7338,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RT",1,1,17024,17044,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",1,1,9970,9984,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",2,1,17486,17501,15,0.25
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",2,2,17580,17612,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",2,3,17688,17714,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",2,4,17796,17806,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,1,30698,30720,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,2,30800,30824,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,3,30900,30910,10,0.166666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,4,30976,31002,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,5,31084,31105,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,6,31202,31244,42,0.7
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,7,31310,31331,21,0.35
"Bangalore","Apis cerana cerana","Colony_1",100,"RW",3,8,31432,31446,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"WT",1,1,37760,37788,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"WT",1,2,37888,37923,35,0.583333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"WT",1,3,24,68,44,0.733333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,1,35582,35606,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,2,35694,35740,46,0.766666666666667
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,3,35828,35887,59,0.983333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,4,35988,36042,54,0.9
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,5,36124,36162,38,0.633333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,6,36262,36310,48,0.8
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,7,36398,36443,45,0.75
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,8,36646,36711,65,1.08333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,9,36806,36855,49,0.816666666666667
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,10,36946,36971,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,11,37052,37108,56,0.933333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",1,12,37222,37266,44,0.733333333333333
"Bangalore","Apis cerana cerana","Colony_1",200,"BAI",2,1,8870,8918,48,0.8
